customer_id,name,city,age
196,Julia,Katowice,30.0
197,Oliwia,Wroclaw,52.0
198,Jan,Bialystok,46.0
199,Oliwia,Lodz,20.0
200,Kinga,Gdansk,22.0
201,Oliwia,Bialystok,42.0
202,Szymon,Bialystok,47.0
203,Jakub,Poznan,26.0
204,Tomasz,Krakow,26.0
205,Jakub,Lodz,24.0
206,Piotr,Lodz,45.0
207,Natalia,Warsaw,18.0
208,Kinga,Katowice,45.0
209,Piotr,Szczecin,40.0
210,Filip,Warsaw,40.0
211,Piotr,Lublin,50.0
212,Tomasz,Warsaw,43.0
213,Filip,Lublin,52.0
214,Jakub,Poznan,54.0
215,Natalia,Krakow,62.0
216,Piotr,Bialystok,56.0
217,Julia,Warsaw,42.0
218,Julia,Lodz,41.0
219,Jakub,Warsaw,29.0
220,Szymon,Bialystok,46.0
221,Jan,Lublin,24.0
222,Jakub,Szczecin,62.0
223,Tomasz,Poznan,58.0
224,Anna,Poznan,23.0
225,Tomasz,Katowice,55.0
226,Kacper,Lublin,23.0
227,Filip,Szczecin,
228,Marek,Krakow,22.0
229,Zuzanna,Katowice,41.0
230,Anna,Warsaw,
231,Jakub,Gdansk,52.0
232,Aleksandra,Szczecin,38.0
233,Adam,Gdansk,62.0
234,Natalia,Lublin,55.0
235,Jakub,Poznan,27.0
236,Tomasz,Gdansk,50.0
237,Wiktoria,Wroclaw,53.0
238,Maja,Lodz,34.0
239,Kacper,Lublin,53.0
240,Wiktoria,Katowice,61.0
241,Jan,Bialystok,57.0
242,Marek,Szczecin,54.0
243,Julia,Lublin,48.0
244,Wiktoria,Katowice,30.0
245,Wiktoria,Gdansk,56.0
246,Julia,Poznan,35.0
247,Natalia,Warsaw,43.0
248,Maja,Wroclaw,
249,Filip,Bialystok,33.0
250,Adam,Poznan,25.0
18,Jan,Wroclaw,21.0
84,Filip,Szczecin,20.0
142,Anna,Warsaw,61.0
